,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Dominant PC
CPU MHz,-0.1808592049954269,0.46883780645783224,0.22360324260888134,0.5983749544412379,0.51655533071528,0.22812397673371496,0.08597054508164233,-0.06194566178176061,-0.0947562044633378,-0.010832521020179198,0.0022758979871402188,-0.015186948425556089,PC4
Cache L3. KB,0.28677460955027434,0.23777302843732212,0.24564916494677097,-0.13774843455737185,-0.385791726038102,0.7293459190715009,0.16516416659789918,-0.03301203820066526,0.18642183656851505,-0.1897155465888713,-0.04177017925571395,-0.01632810524774594,PC6
Cache L2. KB,0.33988092326734354,0.009477854768918118,-0.08363319908018318,0.1545400766189931,-0.045476772090346076,-0.3366465364048276,0.6396596443615191,-0.13643258964903804,-0.16742557072018527,-0.4003202406582705,-0.3464124322677769,-0.04524877391270538,PC7
Cores,0.3515359491168384,0.08629581156755614,-0.05474542054413659,0.13729090702582938,-0.11843023975254752,-0.016294811072411708,-0.2751277766108305,-0.31026546000076244,-0.353970979423768,0.02670208339176871,0.11312360432924701,0.7225462324901661,PC12
Threads,0.34694893194202125,-0.048052627534401815,0.034766262876182126,0.23842806268313002,-0.1878998839925483,-0.008236846470726505,-0.3105663314202772,-0.254363834568536,-0.3752013218899616,0.12221674218829129,0.12432773626950257,-0.6719849558469869,PC12
Mem Bandwidth. GB/s,0.34533461915389274,0.1652303400583268,-0.0827695054917271,0.020740823795208946,0.0634993329599283,-0.12116477195018122,0.17536113418554639,0.5309677906785094,-0.010334137421654122,-0.09381054672244225,0.7111904985311909,-0.00845192785023919,PC11
GFLOPS,0.3331699038029067,0.09108084925902654,-0.062104995668717584,0.32421800069763185,-0.017451259565014393,-0.23668054872197283,-0.369978866971139,-0.006395450569320907,0.7321987030141417,-0.14054613246621506,-0.15032825135763242,-0.0036769599967917616,PC9
Mem Channels,0.33939774968199066,0.0957302416072367,-0.04334904041486792,-0.19107675370699012,0.28905818891212576,0.10768034952785624,-0.2645376400497901,0.5535222404502609,-0.2695458354956474,0.06913403779694835,-0.5368897816950147,-0.007320178212603132,PC8
Price.$,0.32411454062741735,-0.2704390774295408,0.17458033001511453,0.12224239291817965,0.1087144278082699,0.04925884454474183,0.3636770529860065,-0.031312266367514316,0.18777923415664322,0.7653699757444842,-0.040787084664826376,0.07866658374523157,PC10
performance_per_dollar,0.10608239570915189,0.5904704783876757,-0.4246390198207209,-0.44130122303793423,0.19263852553351427,-0.0700332642944003,0.07440320789185294,-0.35831216553365464,0.10640573333326656,0.24662281759819654,0.027355364505470728,-0.12725980398065662,PC2
adjusted_cost_per_ns_atom,0.25249041536494377,-0.36523574742497295,0.2564282096828584,-0.32159816472321945,0.6150033779555935,0.10617289006853059,-0.07337390526088651,-0.31265119392362833,0.07782030116173033,-0.32141649310257653,0.17448475781121234,-0.03499720189048892,PC5
L3 per core,-0.008718253000712134,0.3374290283368659,0.7676710462350007,-0.2611900495357218,-0.1337392163280393,-0.4488343885591618,-0.056763056413429984,0.004480015690255126,-0.025484111687731528,0.06876564754533031,-0.02227519527081391,0.008463196190096407,PC3
Explained variance,0.6314614952656388,0.1273903573788122,0.10183398874981175,0.054960744663094765,0.032220492298470765,0.02177609367487489,0.012151257537895527,0.008985732505568977,0.005686683840832486,0.0025676039591379213,0.0008872707685743676,7.827935728743889e-05,0.9999999999999999
