GFLOPS,Natoms*ns/day
332.8000000000001,90183.0
341.4614351592347,90183.0
350.34829237080595,90183.0
359.4664384570989,90183.0
368.8218929301068,90183.0
378.420831965324,96064.5
388.2695924790597,96064.5
398.37467631187167,96064.5
408.7427545208751,127432.5
419.3806717837642,127432.5
430.29545091745206,127432.5
441.49429751431194,127432.5
452.98460469908366,127432.5
464.77395800957834,127432.5
476.87014040441244,127432.5
489.2811374010708,127432.5
502.01514234769314,127432.5
515.0805618320636,127432.5
528.4860212313736,133314.0
542.2403704064259,133314.0
556.3526895440298,133314.0
570.8322951514558,133314.0
585.6887462068987,133314.0
600.931850470013,133314.0
616.5716709566864,135274.5
632.6185325823235,170563.5
649.0830289780324,170563.5
665.9760294842008,170563.5
683.3086863260935,190168.5
701.0924419761993,190168.5
719.3390367081894,190168.5
738.0605163474743,190168.5
757.2692402234803,209773.5
776.9778893288845,209773.5
797.1994746912075,209773.5
817.9473459622825,221536.5
839.2352002312739,221536.5
861.0770910670625,250944.0
883.4874377959678,250944.0
906.481035020931,250944.0
930.073062388448,250944.0
954.2790946096868,272509.5
979.1151117424239,272509.5
1004.5975097405721,272509.5
1030.743111278272,321522.0
1057.569176855688,321522.0
1085.093416193851,321522.0
1113.3339999260488,321522.0
1142.309571593509,321522.0
1172.0392599532752,321522.0
1202.542691606408,321522.0
1233.8400039548465,321522.0
1265.9518584954853,321522.0
1298.8994544602413,321522.0
1332.7045428111203,321522.0
1367.3894405995093,321522.0
1402.977045699193,321522.0
1439.490851922805,321522.0
1476.9549645316997,305838.0
1515.394116149491,305838.0
1554.8336830897388,305838.0
1595.299702108596,305838.0
1636.8188875934513,305838.0
1679.4186491989235,305838.0
1723.1271099418495,445033.5
1767.973124767212,445033.5
1813.9862995972617,445033.5
1861.1970108764112,445033.5
1909.6364256248105,460717.5
1959.3365220138182,460717.5
2010.330110476988,460717.5
2062.6508553704775,460717.5
2116.3332971971918,460717.5
2171.412875409339,460717.5
2227.9259518044264,460717.5
2285.9098345301777,460717.5
2345.4028027141912,460717.5
2406.4441317346123,460717.5
2469.074119148494,460717.5
2533.334111294975,460717.5
2599.2665305908245,460717.5
2666.914903536378,460717.5
2736.32388945037,450915.0
2807.539309952591,450915.0
2880.6081792138784,450915.0
2955.578734993391,450915.0
3032.500470483646,450915.0
3111.4241669843746,450915.0
3192.4019274267143,450915.0
3275.4872107699293,450915.0
3360.7348672933244,450915.0
3448.2011748066657,527374.5
3537.9438758030133,527374.5
3630.0222155784904,527374.5
3724.496981344158,527374.5
3821.430542355809,527374.5
3920.886891088177,527374.5
4022.931685480765,558742.5
4127.632292283114,558742.5
4235.057831528221,558742.5
4345.279222163408,558742.5
4458.36922886875,558742.5
4574.402510094031,558742.5
4693.455667345892,558742.5
4815.607295757726,558742.5
4940.938035975702,558742.5
5069.530627395172,562663.5
5201.469962782603,562663.5
5336.843144319105,562663.5
5475.73954110253,637162.5
5618.250848146149,637162.5
5764.471146912773,637162.5
5914.496967424383,637162.5
6068.427351988186,637162.5
6226.363920581249,858699.0
6388.410937936754,858699.0
6554.67538237631,872422.5
6725.267016433652,872422.5
6900.298459316402,872422.5
7079.8852612537075,872422.5
7264.145979778857,872422.5
7453.202257997214,872422.5
7647.178904891155,872422.5
7846.2039777150085,950842.5
8050.408866534441,950842.5
8259.928380965977,950842.5
8474.900839174084,950842.5
8695.46815918444,950842.5
8921.775952573758,950842.5
9153.973620597904,1015539.0
9392.214452821921,1015539.0
9636.655728316942,1015539.0
9887.458819490872,1015539.0
10144.789298621346,1015539.0
10408.817047161328,1015539.0
10679.716367889463,1015539.0
10957.66609997928,1015539.0
11242.849737063154,1015539.0
11535.455548369013,1054749.0
11835.676703009733,1054749.0
12143.711397507275,1054749.0
12459.762986635757,1123366.5
12784.040117669942,1123366.5
13116.756868127428,1215510.0
13458.13288709597,1215510.0
13808.393540238832,1333140.0
14167.770058574086,1333140.0
14536.499691126022,1333140.0
14914.825861549465,1333140.0
15302.99832883037,1333140.0
15701.273352168831,1333140.0
16109.913860153258,1333140.0
16529.18962433767,1333140.0
16959.37743733615,1333140.0
17400.761295552715,1333140.0
17853.632586666743,1333140.0
18318.290281997906,1333140.0
18795.0411338776,1391955.0
19284.19987815713,1391955.0
19786.089441986387,1391955.0
20301.041157000152,1391955.0
20829.394978052766,1391955.0
21371.499707645587,1391955.0
21927.713226195385,1391955.0
22498.402728295692,1391955.0
23083.944965127062,1588005.0
23684.726493176302,1588005.0
24301.143929428865,1588005.0
24933.604213202776,1588005.0
25582.52487479735,1588005.0
26248.334311133178,1588005.0
26931.472068566447,1588005.0
27632.38913306352,1823265.0
28351.548227927608,1823265.0
29089.42411927408,1823265.0
29846.503929456074,1823265.0
30623.287458647254,1823265.0
31420.287514794112,1823265.0
32238.030252155582,1823265.0
33077.055518653375,1823265.0
33937.91721226281,1823265.0
34821.18364667833,1823265.0
35727.43792649655,1823265.0
36657.278332163405,1823265.0
37611.31871493999,1823265.0
38590.1889021478,1823265.0
39594.5351129608,1529190.0
40625.020385018935,1529190.0
41682.32501214461,1529190.0
42767.1469934512,1529190.0
43880.202494139994,1529190.0
45022.22631828987,1529190.0
46193.972393951684,1529190.0
47396.21427086781,1529190.0
48629.74563114518,1529190.0
49895.380813219206,1529190.0
51193.95534945423,1529190.0
52526.32651773562,1529190.0
53893.37390741745,1333140.0
55296.00000000003,1333140.0
